FECHA,DÍA MES,DÍA SEMANA,MES,AÑO,ORGANISMO,LINEA/SERVICIO,AFLUENCIA TARJETA,AFLUENCIA BOLETO,"AFLUENCIA TOTAL
(cifras preliminares)"
2020-03-01,01,Domingo,2020-03,2020,Ecobici,N/A,,,11238.0
2020-03-02,02,Lunes,2020-03,2020,Ecobici,N/A,,,29475.0
2020-03-04,04,Miércoles,2020-03,2020,Ecobici,N/A,,,31477.0
2020-03-05,05,Jueves,2020-03,2020,Ecobici,N/A,,,31493.0
2020-03-06,06,Viernes,2020-03,2020,Ecobici,N/A,,,29035.0
2020-03-07,07,Sábado,2020-03,2020,Ecobici,N/A,,,12800.0
2020-03-19,19,Jueves,2020-03,2020,Ecobici,N/A,,,16676.0
2020-03-20,20,Viernes,2020-03,2020,Ecobici,N/A,,,16091.0
2020-03-22,22,Domingo,2020-03,2020,Ecobici,N/A,,,5770.0
2020-03-23,23,Lunes,2020-03,2020,Ecobici,N/A,,,11697.0
2020-03-27,27,Viernes,2020-03,2020,Ecobici,N/A,,,9478.0
2020-04-01,01,Miércoles,2020-04,2020,Ecobici,N/A,,,7141.0
2020-04-06,06,Lunes,2020-04,2020,Ecobici,N/A,,,5661.0
2020-04-16,16,Jueves,2020-04,2020,Ecobici,N/A,,,5519.0
2020-04-17,17,Viernes,2020-04,2020,Ecobici,N/A,,,5603.0
2020-04-21,21,Martes,2020-04,2020,Ecobici,N/A,,,4985.0
2020-04-27,27,Lunes,2020-04,2020,Ecobici,N/A,,,5441.0
2020-04-28,28,Martes,2020-04,2020,Ecobici,N/A,,,5348.0
2020-04-30,30,Jueves,2020-04,2020,Ecobici,N/A,,,4765.0
2020-05-09,09,Sábado,2020-05,2020,Ecobici,N/A,,,3668.0
2020-05-10,10,Domingo,2020-05,2020,Ecobici,N/A,,,3151.0
2020-05-12,12,Martes,2020-05,2020,Ecobici,N/A,,,5235.0
2020-05-14,14,Jueves,2020-05,2020,Ecobici,N/A,,,5324.0
2020-05-22,22,Viernes,2020-05,2020,Ecobici,N/A,,,5384.0
2020-05-23,23,Sábado,2020-05,2020,Ecobici,N/A,,,4435.0
2020-05-24,24,Domingo,2020-05,2020,Ecobici,N/A,,,3950.0
2020-05-26,26,Martes,2020-05,2020,Ecobici,N/A,,,5848.0
2020-06-04,04,Jueves,2020-06,2020,Ecobici,N/A,,,6273.0
2020-06-06,06,Sábado,2020-06,2020,Ecobici,N/A,,,5164.0
2020-06-08,08,Lunes,2020-06,2020,Ecobici,N/A,,,5480.0
2020-06-10,10,Miércoles,2020-06,2020,Ecobici,N/A,,,6553.0
2020-06-17,17,Miércoles,2020-06,2020,Ecobici,N/A,,,6862.0
