ID,Nombre,Dirección,Número,Código postal,districtCode,Colonia,altitude,nearbyStations/0,location/lat,location/lon,Tipo de estación,nearbyStations/1,nearbyStations/2,nearbyStations/3,nearbyStations/4,nearbyStations/5,punto_geo
86,86 SULLIVAN-INSURGENTES,086 - Sullivan-Insurgentes,S/N,06470,1,Ampliación Granada,,12,19.432378,-99.159077,"BIKE,TPV",20,,,,,"19.432378,-99.159077"
250,250 DARWIN-MARIANO ESCOBEDO,250 - Darwin-Mariano Escobedo,S/N,11510,1,Ampliación Granada,,239,19.429057,-99.17966,"BIKE,TPV",249,252,,,,"19.429057,-99.17966"
273,273 LUIS DONALDO COLOSIO-AV. CENTRAL,273 Luis Donaldo Colosio - Av. Jesus Garcia,S/N,,1,Ampliación Granada,,176,19.442707,-99.152956,BIKE,268,274,,,,"19.442707,-99.152956"
278,278 MIER Y PESADO-OBRERO MUNDIAL,278 - Mier Y Pesado-Obrero Mundial,S/N,3103,1,Ampliación Granada,,164,19.40071,-99.163831,BIKE,279,282,,,,"19.40071,-99.163831"
305,305 AVENIDA DEL PARQUE-ARIZONA,305 - Avenida Del Parque-Arizona,S/N,3810,1,Ampliación Granada,,304,19.394693,-99.175531,"BIKE,TPV",306,307,,,,"19.394693,-99.175531"
308,308 NUEVA YORK-ARIZONA,308 - Nueva York-Arizona,S/N,3810,1,Ampliación Granada,,306,19.393594,-99.178072,BIKE,307,309,,,,"19.393594,-99.178072"
247,E247 HERSCHEL-ROUSSEAU,247 - Herschel-Rousseau,S/N,11510,2,Anzures,,246,19.432276,-99.18064,ELECTRIC_BIKE,469,472,,,,"19.432276,-99.18064"
473,473 BAHÍA DEL ESPÍRITU SANTO-BAHÍA DE BANDERAS,473 BAHÍA DEL ESPÍRITU SANTO-BAHÍA DE BANDERAS,S/N,,2,Anzures,,471,19.438143,-99.17519,"BIKE,TPV",474,478,,,,"19.438143,-99.17519"
423,423 MORAS-JOSÉ MARÍA RICO (EJE 8),423 - Moras-José María Rico (Eje 8),S/N,3240,ACA,Acacias,,422,19.367631,-99.175342,BIKE,436,437,,,,"19.367631,-99.175342"
480,480 LAGO ISEO-AV. MARINA NACIONAL,480 LAGO ISEO-AV. MARINA NACIONAL,S/N,,AME,Anáhuac Mariano Escobedo,,476,19.446073,-99.181654,BIKE,477,478,,,,"19.446073,-99.181654"
