Fecha,Hora,Noroeste ozono,Noroeste dióxido de azufre,Noroeste dióxido de nitrógeno,Noroeste monóxido de carbono,Noroeste PM10,Noroeste PM25,Noreste ozono,Noreste dióxido de azufre,Noreste dióxido de nitrógeno,Noreste monóxido de carbono,Noreste PM10,Noreste PM25,Centro ozono,Centro dióxido de azufre,Centro dióxido de nitrógeno,Centro monóxido de carbono,Centro PM10,Centro PM25,Suroeste ozono,Suroeste dióxido de azufre,Suroeste dióxido de nitrógeno,Suroeste monóxido de carbono,Suroeste PM10,Suroeste PM25,Sureste ozono,Sureste dióxido de azufre,Sureste dióxido de nitrógeno,Sureste monóxido de carbono,Sureste PM10,Sureste PM25
01/01/2020,1,4,36,17,9,81,63,9,28,20,8,97,69,6,12,16,7,58,64,14,4,16,5,35,54,9,8,17,12,73,72
01/01/2020,2,4,32,15,11,86,64,11,22,19,10,103,70,2,12,17,8,63,67,11,4,14,6,40,56,13,8,16,14,81,76
01/01/2020,3,4,26,16,12,91,66,9,18,20,12,105,74,2,12,17,10,65,70,15,4,15,6,49,59,13,8,15,15,91,80
01/01/2020,4,6,24,16,14,101,68,9,16,18,14,111,80,3,12,17,11,70,73,12,4,15,7,57,63,16,8,10,15,100,83
01/01/2020,5,5,22,15,15,104,72,5,16,16,15,116,83,2,12,14,11,74,78,12,6,14,7,64,67,16,8,9,14,102,83
01/01/2020,6,4,22,14,16,106,73,4,16,15,16,121,83,2,12,14,11,80,83,14,6,13,7,70,71,14,8,9,13,103,85
01/01/2020,7,3,22,13,16,107,74,4,16,14,18,127,85,2,12,14,12,86,88,14,6,10,7,71,75,10,8,11,12,104,87
01/01/2020,8,4,22,12,18,108,75,6,16,13,18,132,87,2,12,15,13,91,93,10,4,9,7,71,77,9,8,12,10,104,88
01/01/2020,9,9,20,21,20,108,77,11,14,15,19,137,88,9,10,20,13,94,96,14,4,8,6,71,78,13,6,10,8,104,90
01/01/2020,10,19,18,23,19,110,79,19,14,17,18,140,87,21,8,13,12,94,97,21,4,10,6,70,78,20,6,5,6,104,89
01/01/2020,11,42,16,12,17,112,79,22,14,7,16,143,85,24,8,5,11,93,97,32,4,7,6,67,79,21,4,2,5,104,87
01/01/2020,12,29,16,4,15,113,78,23,14,5,14,142,84,24,8,2,9,88,96,35,4,4,5,67,80,21,4,2,4,103,87
01/01/2020,13,26,16,2,12,113,77,23,14,6,12,141,83,24,8,2,8,88,95,34,4,2,5,67,80,22,4,2,3,102,88
01/01/2020,14,26,16,2,10,113,76,24,14,6,8,140,82,24,8,3,6,91,94,31,4,2,4,67,79,25,4,2,3,103,90
01/01/2020,15,26,16,2,8,113,75,25,14,8,6,140,83,26,6,3,5,94,93,23,4,2,4,68,79,29,4,2,2,104,92
01/01/2020,16,27,16,2,5,113,74,26,14,9,4,143,84,26,6,3,3,100,92,21,4,1,3,70,79,28,4,2,2,104,94
01/01/2020,17,24,16,2,2,113,75,24,14,9,2,144,85,24,6,2,2,101,92,21,4,1,2,71,78,26,4,3,1,104,97
01/01/2020,18,22,16,2,2,114,75,22,12,10,1,144,85,23,6,3,1,102,93,17,4,2,2,71,78,25,4,2,1,104,84
01/01/2020,19,19,14,4,2,114,76,21,12,10,2,144,85,21,6,4,1,102,93,16,4,4,1,73,78,26,4,3,1,104,84
01/01/2020,20,16,14,5,2,114,76,18,10,11,2,143,85,17,6,5,1,102,95,14,4,4,1,73,78,21,4,4,1,103,84
01/01/2020,21,15,12,6,2,113,74,16,10,11,2,141,85,15,6,6,1,102,98,14,4,3,1,71,79,19,4,4,1,102,82
01/01/2020,22,13,12,5,2,111,71,15,10,11,2,139,84,14,6,7,2,102,97,14,4,5,1,70,80,16,4,5,1,99,82
01/01/2020,23,11,12,7,2,110,71,14,10,10,3,139,83,11,6,7,2,102,96,14,4,9,1,67,81,14,4,4,1,94,81
01/01/2020,24,-99,10,-99,2,108,70,-99,10,-99,3,137,82,-99,6,-99,2,101,95,-99,4,-99,1,65,81,-99,4,-99,1,88,79
02/01/2020,1,-99,10,-99,2,107,68,-99,10,-99,3,137,80,-99,6,-99,2,100,92,-99,4,-99,1,60,81,-99,4,-99,2,80,76
02/01/2020,2,-99,8,-99,2,105,66,-99,10,-99,2,133,78,-99,6,-99,1,96,90,-99,2,-99,2,55,80,-99,4,-99,-99,70,73
02/01/2020,3,-99,8,-99,-99,103,64,-99,10,-99,-99,130,73,-99,6,-99,-99,90,86,-99,2,-99,-99,46,66,-99,4,-99,-99,57,69
02/01/2020,4,11,6,8,-99,100,61,11,8,3,-99,124,66,12,6,2,-99,86,81,14,2,2,-99,40,63,14,4,2,-99,49,62
02/01/2020,5,11,6,8,-99,93,58,11,8,3,-99,119,62,11,4,2,-99,78,75,12,2,2,-99,33,60,14,4,2,-99,44,58
02/01/2020,6,11,6,8,-99,83,55,8,6,5,-99,114,59,9,4,4,-99,71,69,13,2,3,-99,28,56,13,2,3,-99,40,52
02/01/2020,7,9,6,10,-99,74,53,6,6,9,-99,110,55,6,4,6,-99,64,63,14,2,4,-99,26,52,13,2,4,-99,39,52
02/01/2020,8,11,6,13,-99,70,51,6,6,10,-99,103,51,8,4,7,-99,57,58,11,2,6,-99,26,44,14,2,4,-99,38,49
02/01/2020,9,12,4,9,3,64,44,10,4,8,4,91,47,11,4,5,3,52,54,13,2,4,1,25,39,14,2,4,4,36,46
02/01/2020,10,14,4,7,3,50,37,14,4,5,4,73,45,14,4,4,3,50,51,14,2,3,1,24,34,15,2,3,4,34,45
