numero,alcaldia,nombre mercado,numero oficial,numero de locales,latitud,longitud,coord
21.0,AZCAPOTZALCO,COSMOPOLITA,138,135.0,19.475222914700002,-99.161795999899994,"19.4752229147,-99.1617959999"
35.0,AZCAPOTZALCO,VICTORIA DE LAS DEMOCRACIAS,141,177.0,19.467590914700001,-99.163066999899996,"19.4675909147,-99.1630669999"
26.0,AZCAPOTZALCO,OBRERO POPULAR,142,125.0,19.463232914799999,-99.173567999900001,"19.4632329148,-99.1735679999"
19.0,AZCAPOTZALCO,BENITO JUAREZ,167,123.0,19.475725914700000,-99.176802999900005,"19.4757259147,-99.1768029999"
70.0,COYOACAN,SANTA URSULA COAPA (PESCADITOS),154,268.0,19.311773915200000,-99.150336999900006,"19.3117739152,-99.1503369999"
53.0,COYOACAN,AJUSCO MONTSERRAT (LA BOLA),229,233.0,19.323816915199998,-99.157463999900003,"19.3238169152,-99.1574639999"
69.0,COYOACAN,SAN FRANCISCO CULHUACAN,236,235.0,19.336043915099999,-99.123308999900004,"19.3360439151,-99.1233089999"
66.0,COYOACAN,MARGARITA MAZA DE JUAREZ,311,102.0,19.313047915300000,-99.114599999999996,"19.3130479153,-99.1146"
64.0,COYOACAN,HERMOSILLO,368,45.0,19.345992915099998,-99.128428999899995,"19.3459929151,-99.1284289999"
62.0,COYOACAN,EL VERDE,412,176.0,19.314663915200001,-99.103918999900003,"19.3146639152,-99.1039189999"
55.0,COYOACAN,BAZAR DEL ARTESANO MEXICANO,414,550.0,19.350172915100000,-99.163464999900000,"19.3501729151,-99.1634649999"
78.0,CUAJIMALPA,SAN MATEO TLALTENANGO,258,32.0,19.342272915100001,-99.282465999799996,"19.3422729151,-99.2824659998"
76.0,CUAJIMALPA,HUIZACHITO,-378,8.0,19.371298915000001,-99.280590999799998,"19.371298915,-99.2805909998"
146.0,GUSTAVO A. MADERO,RAMON CORONA,45,458.0,19.477101914700000,-99.124491999900002,"19.4771019147,-99.1244919999"
123.0,GUSTAVO A. MADERO,CARRERA LARDIZABAL,50,131.0,19.482522914699999,-99.099710999899997,"19.4825229147,-99.0997109999"
127.0,GUSTAVO A. MADERO,DIEZ DE MAYO,56,390.0,19.456197914699999,-99.104686000000001,"19.4561979147,-99.104686"
133.0,GUSTAVO A. MADERO,GERTRUDIS SANCHEZ,58,215.0,19.464083914700002,-99.101213000000001,"19.4640839147,-99.101213"
162.0,GUSTAVO A. MADERO,TRES ESTRELLAS,171,122.0,19.471113914699998,-99.111077999900004,"19.4711139147,-99.1110779999"
143.0,GUSTAVO A. MADERO,PROGRESO NACIONAL,73,274.0,19.521871914599998,-99.158823999999996,"19.5218719146,-99.158824"
140.0,GUSTAVO A. MADERO,PANAMERICANA,145,430.0,19.477612914700000,-99.145398999899996,"19.4776129147,-99.1453989999"
130.0,GUSTAVO A. MADERO,FERNANDO CASAS ALEMAN,156,222.0,19.452684914799999,-99.097277999900001,"19.4526849148,-99.0972779999"
160.0,GUSTAVO A. MADERO,SANTA MARIA TICOMAN,176,119.0,19.516317914500000,-99.133304999999993,"19.5163179145,-99.133305"
156.0,GUSTAVO A. MADERO,SAN JUAN DE ARAGON UNIDAD 7,204,190.0,19.470170914699999,-99.075449999900002,"19.4701709147,-99.0754499999"
150.0,GUSTAVO A. MADERO,SAN FELIPE DE JESUS,205,269.0,19.493572914600001,-99.076559999899999,"19.4935729146,-99.0765599999"
136.0,GUSTAVO A. MADERO,MA. ESTHER ZUNO DE ECHEVERRIA,330,90.0,19.483267914599999,-99.117125999999999,"19.4832679146,-99.117126"
126.0,GUSTAVO A. MADERO,CUCHILLA DEL TESORO,338,128.0,19.447616914800001,-99.057422999899998,"19.4476169148,-99.0574229999"
135.0,GUSTAVO A. MADERO,LINDAVISTA VALLEJO PATERA,-366,86.0,19.501173914599999,-99.152832000000004,"19.5011739146,-99.152832"
174.0,IZTACALCO,IZTACALCO,38,102.0,19.389657915000001,-99.121647999900006,"19.389657915,-99.1216479999"
179.0,IZTACALCO,MILITAR MARTE,-109,158.0,19.383031915000000,-99.131099999900002,"19.383031915,-99.1310999999"
170.0,IZTACALCO,APATLACO,206,131.0,19.382641915000001,-99.119382000000002,"19.382641915,-99.119382"
173.0,IZTACALCO,EL RODEO,255,68.0,19.391944915000000,-99.085440000000006,"19.391944915,-99.08544"
190.0,IZTAPALAPA,IZTAPALAPA,39,200.0,19.360348915100001,-99.091266999900000,"19.3603489151,-99.0912669999"
195.0,IZTAPALAPA,SAN ANDRES TETEPILCO,120,207.0,19.372410915000000,-99.130107999900005,"19.372410915,-99.1301079999"
194.0,IZTAPALAPA,PROGRESO DEL SUR,129,135.0,19.350494915100001,-99.109334999900000,"19.3504949151,-99.1093349999"
193.0,IZTAPALAPA,LA PURISIMA,213,121.0,19.354566915100001,-99.074371999999997,"19.3545669151,-99.074372"
203.0,IZTAPALAPA,SIFON,223,156.0,19.377550915000000,-99.110734999900004,"19.377550915,-99.1107349999"
192.0,IZTAPALAPA,JUAN DE LA BARRERA,230,174.0,19.392195914900000,-99.044098000000005,"19.3921959149,-99.044098"
196.0,IZTAPALAPA,SAN JOSE ACULCO,246,121.0,19.374914915000002,-99.102704999899998,"19.374914915,-99.1027049999"
208.0,MAGDALENA CONTRERAS,TIHUATLAN,261,38.0,19.318091915200000,-99.225465999899995,"19.3180919152,-99.2254659999"
234.0,MILPA ALTA,SAN PEDRO ATOCPAN,182,20.0,19.201478915500001,-99.050293999999994,"19.2014789155,-99.050294"
235.0,MILPA ALTA,SAN SALVADOR CUAUHTENCO (DOCE DE OCTUBRE,244,23.0,19.192184915599999,-99.089509999900002,"19.1921849156,-99.0895099999"
233.0,MILPA ALTA,SAN PABLO OZTOTEPEC,323,74.0,19.184792915599999,-99.071421000000001,"19.1847929156,-99.071421"
236.0,MILPA ALTA,SANTA ANA TLACOTENCO,382,19.0,19.176108915699999,-98.998250999999996,"19.1761089157,-98.998251"
237.0,MILPA ALTA,VILLA MILPA ALTA (MERCADO ANTOJITOS),394,23.0,19.191855915600001,-99.021337000000003,"19.1918559156,-99.021337"
230.0,MILPA ALTA,BENITO JUAREZ  (ANEXO),395,207.0,19.192161915600000,-99.021320000000003,"19.1921619156,-99.02132"
15.0,ALVARO OBREGON,SEIS DE ENERO DE 1915,48,116.0,19.372219914999999,-99.199785999900001,"19.372219915,-99.1997859999"
16.0,ALVARO OBREGON,TIZAPAN,67,128.0,19.341359915100000,-99.197830999900006,"19.3413599151,-99.1978309999"
5.0,ALVARO OBREGON,JOSE MARIA PINO SUAREZ,82,200.0,19.397580914999999,-99.198025999899997,"19.397580915,-99.1980259999"
8.0,ALVARO OBREGON,MELCHOR MUZQUIZ (FLORES),133,34.0,19.347189915100000,-99.190052999900004,"19.3471899151,-99.1900529999"
10.0,ALVARO OBREGON,OLIVAR DEL CONDE,181,188.0,19.372019914999999,-99.214036999900003,"19.372019915,-99.2140369999"
2.0,ALVARO OBREGON,CORPUS CRISTY,279,87.0,19.361295914999999,-99.248678999800006,"19.361295915,-99.2486789998"
1.0,ALVARO OBREGON,CENTENARIO,407,86.0,19.360609915000001,-99.227422999900000,"19.360609915,-99.2274229999"
247.0,TLAHUAC,MIXQUIC,178,102.0,19.223875915499999,-98.961815999999999,"19.2238759155,-98.961816"
252.0,TLAHUAC,SELENE,372,112.0,19.288886915300001,-99.005972999999997,"19.2888869153,-99.005973"
243.0,MILPA ALTA,EMILIANO ZAPATA (TETELCO),373,24.0,19.209074915500000,-98.970128000000003,"19.2090749155,-98.970128"
255.0,TLAHUAC,ZAPOTITLA,374,104.0,19.312676915200001,-99.038177999900000,"19.3126769152,-99.0381779999"
253.0,TLAHUAC,TIPICO REGIONAL,1002,26.0,19.268576915400001,-99.004833000000005,"19.2685769154,-99.004833"
265.0,TLALPAN,LA PAZ,42,141.0,19.287988915200000,-99.167101999899998,"19.2879889152,-99.1671019999"
276.0,TLALPAN,VILLA COAPA,263,167.0,19.292045915199999,-99.126838000000006,"19.2920459152,-99.126838"
