Alcaldía,Polígono ,Colonia ,Año,Mes,Ingreso por Estacionamiento en Vía Pública ,Contraprestación 30%                                (F)             ,Ingreso por Retiro de Candado Inmovilizador,70% Inmovilizador           (H),Pago al GCDMX       (F-H)
Miguel Hidalgo,Polanco,Palmitas,2012,Febrero,204270.0,61281.0,0.0,0.0,61281.0
Miguel Hidalgo,Polanco,Los Morales,2012,Junio,464162.0,139248.6,0.0,0.0,139248.6
Miguel Hidalgo,Polanco,Rincón del Bosque,2012,Junio,99802.0,29940.6,0.0,0.0,29940.6
Miguel Hidalgo,Polanco,Morales Secc. Palmas,2012,Junio,337447.0,101234.1,0.0,0.0,101234.1
Miguel Hidalgo,Polanco,Polanco Reforma,2012,Julio,1133326.0,339997.8,0.0,0.0,339997.8
Miguel Hidalgo,Polanco,Palmitas,2012,Julio,273372.0,82011.6,0.0,0.0,82011.6
Miguel Hidalgo,Polanco,Morales Secc. Alameda,2012,Julio,221706.0,66511.8,0.0,0.0,66511.8
Miguel Hidalgo,Polanco,Chapultepec Morales,2012,Octubre,1514097.0,454229.1,0.0,0.0,454229.1
Miguel Hidalgo,Polanco,Polanco Reforma,2012,Octubre,1277753.0,383325.9,0.0,0.0,383325.9
Miguel Hidalgo,Polanco,Los Morales,2012,Octubre,521134.0,156340.2,0.0,0.0,156340.2
Miguel Hidalgo,Polanco,Morales Secc. Alameda,2012,Octubre,246242.0,73872.6,0.0,0.0,73872.6
Miguel Hidalgo,Polanco,Morales Secc. Palmas,2012,Octubre,354524.0,106357.2,0.0,0.0,106357.2
Miguel Hidalgo,Polanco,Chapultepec Morales,2012,Noviembre,1406052.0,421815.6,0.0,0.0,421815.6
Miguel Hidalgo,Polanco,Polanco Reforma,2012,Noviembre,1197881.0,359364.3,0.0,0.0,359364.3
Miguel Hidalgo,Polanco,Los Morales,2012,Diciembre,467038.0,140111.4,0.0,0.0,140111.4
Miguel Hidalgo,Lomas Chapultepec,Lomas de Chapultepec,2012,Diciembre,1250799.0,375239.7,0.0,0.0,375239.7
Miguel Hidalgo,Polanco -Anzures,Rincón del Bosque,2013,Marzo,102659.0,30797.7,0.0,0.0,30797.7
Miguel Hidalgo,Polanco -Anzures,Morales Secc. Alameda,2013,Marzo,199193.0,59757.9,0.0,0.0,59757.9
Miguel Hidalgo,Polanco -Anzures,Anzures,2013,Marzo,313767.0,94130.1,0.0,0.0,94130.1
Miguel Hidalgo,Lomas Chapultepec,Lomas de Chapultepec,2013,Marzo,1543140.0,462942.0,0.0,0.0,462942.0
Miguel Hidalgo,Lomas Chapultepec,Lomas Virreyes,2013,Marzo,264785.0,79435.5,0.0,0.0,79435.5
Miguel Hidalgo,Polanco -Anzures,Bosques de Chapultepec,2013,Abril,689619.0,206885.7,0.0,0.0,206885.7
Miguel Hidalgo,Polanco -Anzures,Chapultepec Morales,2013,Abril,1610460.0,483138.0,0.0,0.0,483138.0
Miguel Hidalgo,Polanco -Anzures,Palmitas,2013,Abril,327303.0,98190.9,0.0,0.0,98190.9
Miguel Hidalgo,Polanco -Anzures,Rincón del Bosque,2013,Abril,126121.0,37836.3,0.0,0.0,37836.3
Miguel Hidalgo,Polanco -Anzures,Morales Secc. Alameda,2013,Abril,236709.0,71012.7,0.0,0.0,71012.7
Miguel Hidalgo,Lomas Chapultepec,Lomas de Chapultepec,2013,Abril,1958885.0,587665.5,0.0,0.0,587665.5
Miguel Hidalgo,Lomas Chapultepec,Lomas Virreyes,2013,Abril,329659.0,98897.7,0.0,0.0,98897.7
Miguel Hidalgo,Polanco -Anzures,Bosques de Chapultepec,2013,Mayo,738697.0,221609.1,0.0,0.0,221609.1
Miguel Hidalgo,Polanco -Anzures,Del Bosque,2013,Julio,77621.0,23286.3,0.0,0.0,23286.3
Miguel Hidalgo,Polanco -Anzures,Rincón del Bosque,2013,Julio,131741.0,39522.3,0.0,0.0,39522.3
Miguel Hidalgo,Polanco -Anzures,Morales Secc. Alameda,2013,Julio,219419.0,65825.7,0.0,0.0,65825.7
Miguel Hidalgo,Polanco -Anzures,Anzures,2013,Julio,1338363.0,401508.9,0.0,0.0,401508.9
Cuauhtémoc,Roma - Hipódromo,Hipódromo II,2013,Julio,739031.0,221709.3,0.0,0.0,221709.3
Miguel Hidalgo,Polanco -Anzures,Bosques de Chapultepec,2013,Agosto,756279.0,226883.7,0.0,0.0,226883.7
