Red Manual
city: Ciudad de M&eacute;xico	
cityCode: MEX
country: M&eacute;xico		
mesurementAgency: SIMAT		
URL: http://www.aire.cdmx.gob.mx
timeStamp:,1989/01/08 al 2017/10/28		
average_interval: 001d
Date,cve_station,cve_parameter,value,unit
08/01/1989,CES,PbPST,1.55,2
08/01/1989,MER,PbPST,2.69,2
08/01/1989,PED,PbPST,0.87,2
08/01/1989,TLA,PbPST,1.41,2
08/01/1989,XAL,PbPST,3.17,2
08/01/1989,MCM,PbPST,1.9,2
08/01/1989,FAN,PbPST,1.7,2
08/01/1989,TEC,PbPST,2.38,2
08/01/1989,CFE,PbPST,1.55,2
14/01/1989,CES,PbPST,3.53,2
14/01/1989,MER,PbPST,1.62,2
14/01/1989,PED,PbPST,1.23,2
14/01/1989,TLA,PbPST,2.51,2
14/01/1989,XAL,PbPST,4.18,2
14/01/1989,MCM,PbPST,1.62,2
14/01/1989,FAN,PbPST,1.87,2
14/01/1989,TEC,PbPST,2.28,2
14/01/1989,CFE,PbPST,1.33,2
20/01/1989,CES,PbPST,1.93,2
20/01/1989,MER,PbPST,2.12,2
20/01/1989,PED,PbPST,1.28,2
20/01/1989,TLA,PbPST,1.18,2
20/01/1989,XAL,PbPST,5.49,2
20/01/1989,MCM,PbPST,1.82,2
20/01/1989,FAN,PbPST,1.91,2
20/01/1989,TEC,PbPST,2.58,2
20/01/1989,CFE,PbPST,1.14,2
26/01/1989,CES,PbPST,1.35,2
26/01/1989,MER,PbPST,1.71,2
26/01/1989,PED,PbPST,0.95,2
26/01/1989,TLA,PbPST,1.45,2
26/01/1989,XAL,PbPST,4.16,2
26/01/1989,MCM,PbPST,1.73,2
26/01/1989,FAN,PbPST,1.15,2
26/01/1989,TEC,PbPST,1.8,2
26/01/1989,CFE,PbPST,0.96,2
01/02/1989,CES,PbPST,1.34,2
01/02/1989,MER,PbPST,1.13,2
01/02/1989,PED,PbPST,0.91,2
01/02/1989,TLA,PbPST,1.52,2
01/02/1989,XAL,PbPST,2.83,2
01/02/1989,FAN,PbPST,1.16,2
01/02/1989,TEC,PbPST,1.72,2
01/02/1989,CFE,PbPST,1.05,2
13/02/1989,MER,PbPST,1.45,2
13/02/1989,TLA,PbPST,1.46,2
13/02/1989,XAL,PbPST,3.12,2
13/02/1989,TEC,PbPST,1.93,2
13/02/1989,CFE,PbPST,0.82,2
19/02/1989,CES,PbPST,0.83,2
19/02/1989,MER,PbPST,0.92,2
19/02/1989,PED,PbPST,0.64,2
19/02/1989,TLA,PbPST,0.82,2
19/02/1989,FAN,PbPST,0.9,2
19/02/1989,TEC,PbPST,1.68,2
19/02/1989,CFE,PbPST,0.62,2
25/02/1989,CES,PbPST,0.97,2
25/02/1989,MER,PbPST,1.17,2
25/02/1989,PED,PbPST,0.93,2
25/02/1989,TLA,PbPST,0.88,2
25/02/1989,XAL,PbPST,2.6,2
25/02/1989,FAN,PbPST,1.04,2
25/02/1989,TEC,PbPST,1.43,2
25/02/1989,CFE,PbPST,0.7,2
03/03/1989,CES,PbPST,1.02,2
03/03/1989,MER,PbPST,1.34,2
03/03/1989,PED,PbPST,0.72,2
03/03/1989,TLA,PbPST,1.03,2
03/03/1989,XAL,PbPST,3.64,2
03/03/1989,MCM,PbPST,0.98,2
03/03/1989,FAN,PbPST,0.89,2
03/03/1989,TEC,PbPST,1.42,2
03/03/1989,CFE,PbPST,0.59,2
09/03/1989,CES,PbPST,1.15,2
09/03/1989,MER,PbPST,1.24,2
09/03/1989,PED,PbPST,0.73,2
09/03/1989,TLA,PbPST,0.99,2
09/03/1989,XAL,PbPST,4.25,2
09/03/1989,MCM,PbPST,0.83,2
09/03/1989,FAN,PbPST,0.72,2
09/03/1989,TEC,PbPST,1.44,2
09/03/1989,CFE,PbPST,0.79,2
15/03/1989,CES,PbPST,1.34,2
15/03/1989,MER,PbPST,1.61,2
15/03/1989,PED,PbPST,1.52,2
15/03/1989,TLA,PbPST,1.41,2
15/03/1989,XAL,PbPST,4.5,2
15/03/1989,MCM,PbPST,1.75,2
15/03/1989,FAN,PbPST,1.78,2
15/03/1989,TEC,PbPST,2.76,2
15/03/1989,CFE,PbPST,1.54,2
21/03/1989,CES,PbPST,0.85,2
21/03/1989,MER,PbPST,0.87,2
21/03/1989,PED,PbPST,0.65,2
21/03/1989,TLA,PbPST,0.84,2
21/03/1989,XAL,PbPST,7.6,2
21/03/1989,MCM,PbPST,0.64,2
21/03/1989,FAN,PbPST,0.76,2
21/03/1989,TEC,PbPST,2.02,2
21/03/1989,CFE,PbPST,0.58,2
02/04/1989,CES,PbPST,0.46,2
02/04/1989,MER,PbPST,2.4,2
02/04/1989,PED,PbPST,0.44,2
02/04/1989,TLA,PbPST,0.68,2
02/04/1989,XAL,PbPST,2,2
02/04/1989,MCM,PbPST,0.76,2
02/04/1989,FAN,PbPST,0.55,2
02/04/1989,TEC,PbPST,1.81,2
02/04/1989,CFE,PbPST,0.51,2
14/04/1989,CES,PbPST,0.92,2
14/04/1989,MER,PbPST,1.41,2
14/04/1989,PED,PbPST,0.64,2
14/04/1989,TLA,PbPST,1.3,2
14/04/1989,XAL,PbPST,2.66,2
14/04/1989,MCM,PbPST,0.94,2
14/04/1989,TEC,PbPST,1.68,2
14/04/1989,CFE,PbPST,0.39,2
20/04/1989,CES,PbPST,2.16,2
20/04/1989,MER,PbPST,0.82,2
20/04/1989,PED,PbPST,0.6,2
20/04/1989,TLA,PbPST,0.56,2
20/04/1989,XAL,PbPST,1.58,2
20/04/1989,MCM,PbPST,0.75,2
20/04/1989,FAN,PbPST,0.58,2
20/04/1989,TEC,PbPST,1.8,2
26/04/1989,CES,PbPST,1,2
26/04/1989,MER,PbPST,1.6,2
26/04/1989,PED,PbPST,0.83,2
26/04/1989,TLA,PbPST,1.08,2
26/04/1989,XAL,PbPST,3,2
26/04/1989,MCM,PbPST,1.48,2
26/04/1989,FAN,PbPST,1.29,2
26/04/1989,TEC,PbPST,1.94,2
26/04/1989,CFE,PbPST,0.69,2
02/05/1989,CES,PbPST,1,2
02/05/1989,MER,PbPST,2.26,2
02/05/1989,PED,PbPST,0.78,2
02/05/1989,TLA,PbPST,1.19,2
02/05/1989,XAL,PbPST,3.88,2
