Column 1,FID_,id_sedema,no_alcaldi,alcaldia,direccion_,tipo_tirad,calle,no_ext,no_int,colonia,entre_que_,longitud,latitud,geo_point
6,6,567,14,Benito Juarez,,,"Municipio Libre Es2Quina Miraflores, Colonia Portales Oreinte, Delegacion Benito Juarez",,,PORTALES ORIENTE,,-99.13998,19.36772,"19.36772,-99.13998"
41,41,402,9,Milpa Alta,,,Av. Hifalgo Y 2Ç÷ Cjon De Independencia,,,SAN PEDRO ATOCPAN,,-99.0428762,19.2032099,"19.2032099,-99.0428762"
78,78,508,11,Tlahuac,,,Angƒ??lica Paulet,,,LA NOPALERA,,-99.055393,19.296997,"19.296997,-99.055393"
81,81,62,3,Coyoacan,,,Bodega De Barrido Manual Santa Cecilia,,,CTM SECCIÇÿN 10,,-99.1071599,19.3002,"19.3002,-99.1071599"
83,83,498,11,Tlahuac,,,Av. Tl¶ÿ¶Huac,,,LA NOPALERA,,-99.054197,19.302147,"19.302147,-99.054197"
108,108,255,7,Iztapalapa,,,"Calle Rebozo, Entre Av. Tlahuac Y Arqueria",,,BARRIO DE GUADALUPE,,-99.06987,19.31179,"19.31179,-99.06987"
124,124,56,3,Coyoacan,,,Av. Carmen Serd¶ÿn Esq Con Andador Ana Garc¶­a,,,CARMEN SERD¶æ¶N,,-99.10775,19.3172,"19.3172,-99.10775"
170,170,61,3,Coyoacan,,,Aztahuacan Esquina Ayotozco,,,SANTO DOMINGO,,-99.16412,19.32708,"19.32708,-99.16412"
176,176,441,10,Alvaro Obregon,,,Calle Flor Del Campo Y Av. De Las Torres,,,TORRES DE POTRERO,,-99.2531505,19.3290501,"19.3290501,-99.2531505"
185,185,366,7,Iztapalapa,,,"Sabadel, Av. 11 Y Calle 13",,,SAN JUAN XALPA II,,-99.08199,19.33114,"19.33114,-99.08199"
192,192,245,7,Iztapalapa,,,"Calle 22, Entre Calle 23 Y 21",,,JOS¶ LÇÿPEZ PORTILLO,,-99.0608445,19.3323071,"19.3323071,-99.0608445"
202,202,456,10,Alvaro Obregon,,,Circuito Edificios F Y Circuito Edificios F,,,U.H. LOMAS DE PLATEROS,,-99.2268379,19.3336678,"19.3336678,-99.2268379"
205,205,80,3,Coyoacan,,,Cantera Frente Al Numero 6,,,PUEBLO DE LOS REYES,,-99.15709,19.3338,"19.3338,-99.15709"
212,212,220,7,Iztapalapa,,,Av. Maravillas Y Benito Ju¶ÿ¶Rez,,,MIRAVALLE,,-99.06037,19.335,"19.335,-99.06037"
219,219,307,7,Iztapalapa,,,Esq. Justo Sierra Y Miltenco,,,REFORMA POLITICA,,-99.03615,19.3369,"19.3369,-99.03615"
223,223,185,7,Iztapalapa,,,"Av. 11, Entre Nautla",,,SAN JUAN XALPA,,-99.0815499,19.33768,"19.33768,-99.0815499"
227,227,266,7,Iztapalapa,,,"Camino A Las Minas, Entre Guanabana Y Mandarina",,,XALPA,,-99.01809,19.33903,"19.33903,-99.01809"
230,230,430,10,Alvaro Obregon,,,Camino Real A Toluca Y Tlaxcaltecas,,,JOSE MARIA PINO SUAREZ,,-99.2026088,19.3403978,"19.3403978,-99.2026088"
260,260,223,7,Iztapalapa,,,"Av. Principal Esq. L¶ÿzaro Cardenas, Secci¶½n Puente",,,SAN MIGUEL TEOTONGO,,-98.9961,19.3452,"19.3452,-98.9961"
267,267,181,7,Iztapalapa,,,¶ærbol De Fuego Y Canal Nacional,,,VALLE DEL SUR,,-99.11714,19.34609,"19.34609,-99.11714"
326,326,332,7,Iztapalapa,,,Miraflores Y Banderas,,,PUEBLO SAN ANDR¶S TOMATL¶æN,,-98.99984,19.3584,"19.3584,-98.99984"
339,339,252,7,Iztapalapa,,,Calle Jes¶œs Escobedo A Un Costado De La Bomba De Agua,,,U.H. VICENTE GUERRERO S.M.I,,-99.06483,19.36095,"19.36095,-99.06483"
379,379,340,7,Iztapalapa,,,Municipio Libre  Esq. Sur 69,,,JUSTO SIERRA,,-99.13639,19.36707,"19.36707,-99.13639"
431,431,275,7,Iztapalapa,,,"Canal De Churubusco,Legistas Y Oceanografos",,,SAN JOS¶ ACULCO,,-99.09936,19.37433,"19.37433,-99.09936"
435,435,330,7,Iztapalapa,,,"Mercado De La Bola,Cuernavaca",,,PUEBLO ACULCO,,-99.10319,19.37499,"19.37499,-99.10319"
443,443,552,14,Benito Juarez,,,Amores Y Miguel Laurent,,,VALLE SUR,,-99.16836,19.37595,"19.37595,-99.16836"
448,448,317,7,Iztapalapa,,,Ingenieros Topografos Esquina Eje 3 Oriente,,,NUEVA ROSITA,,-99.10833,19.37666,"19.37666,-99.10833"
467,467,657,14,Benito Juarez,,,Revoluci¶½n Y Eje 5 Sur San Antonio,,,NONOALCO,,-99.18952,19.37969,"19.37969,-99.18952"
469,469,420,10,Alvaro Obregon,,,Av. Benito Juarez Y Av. Nicanor Arvide Y Cerrada De La Presa,,,BARRIO NORTE,,-99.203525,19.3804137,"19.3804137,-99.203525"
494,494,622,14,Benito Juarez,,,Margarita Y California,,,SAN BORJA,,-99.17393,19.38248,"19.38248,-99.17393"
495,495,147,6,Iztacalco,,,Camell¶½n De Lenguas Indigenas Y Avenida Canal De Rio Churubusco Lado Norte Y Lado Sur,,,CARLOS ZAPATA,,-99.10048,19.38256,"19.38256,-99.10048"
498,498,558,14,Benito Juarez,,,Angel Urraza Y Amores,,,VALLE CENTRO,,-99.16664,19.38285,"19.38285,-99.16664"
500,500,538,14,Benito Juarez,,,Adolfo Prieto Y Viaducto,,,VALLE NORTE,,-99.1698175,19.3831703,"19.3831703,-99.1698175"
