Alcaldia,Tiraderos,Escuelas_publicas,Escuelas_privadas,Mercados,Parquimetros,Areas_verdes,Estacion_climatologica,Dióxido de azufre,Dióxido de nitrógeno,Monóxido de carbono,Ozono,Partículas menores a 10 micrómetros,Partículas menores a 2.5 micrómetros,Óxido nítrico
Benito Juarez,147,68,294,16,640,484,1,4.878557874762809,24.42070275403609,0.37323208353109005,27.69111776447106,44.32196757965344,19.178870877585243,10.224625623960067
Tlahuac,35,120,103,18,0,581,1,6.571570084200099,15.921217979700339,0.5029136888400223,34.2609956500725,56.711430356027485,22.918176139912553,
Xochimilco,12,95,149,11,0,196,1,,,,32.722537878787875,,,
Tlalpan,2,78,325,20,0,735,1,3.190340909090909,32.921460176991154,0.3636540330417901,32.46733668341709,,19.59508041627247,
Venustiano Carranza,109,150,140,42,0,634,1,,20.3656338028169,,25.872161895360318,,,
Milpa Alta,13,28,32,10,0,130,1,5.391106178906901,6.654956689124158,0.4330969171872212,45.71332371332371,50.661931447934315,21.590857142857143,24.644358407079647
Miguel Hidalgo,69,137,223,19,1382,925,1,2.2996146435452793,23.25526932084309,0.13704637096774028,33.11276223776224,,,6.655389076848719
Iztapalapa,219,439,636,20,0,2129,1,4.963211678832117,25.06700616456714,0.33077819877586867,29.799184782608695,36.47283856159143,17.07115531752104,19.736722059302704
Azcapotzalco,47,156,126,19,0,960,1,6.837696335078534,29.33349191246432,0.4617897727272753,26.654926225606854,53.04486251808972,21.56150506512301,22.88582302568982
Cuajimalpa,5,35,172,5,0,448,1,3.3509859154929575,19.940795781399807,0.2687149345444884,31.251995742416177,39.92,16.35149469623915,13.150933040614708
Cuauhtemoc,274,205,190,39,377,567,1,5.679289026275116,27.618002195389682,0.36466739367502937,29.61635565312843,48.43825838686652,21.19272727272727,16.285991274842463
Alvaro Obregon,77,172,321,16,83,721,1,3.791726791726792,20.593073593073594,0.27995203836930743,33.5846968238691,35.25217812197483,17.977734753146176,5.658489658489659
Magdalena Contreras,5,0,84,5,0,202,0,,,,,,,
Coyoacan,68,163,290,22,0,1806,1,4.034795042897998,21.5579589572934,0.3568984547461384,29.32697807435653,36.04961832061068,17.655761024182077,8.570709491850431
Gustavo A. Madero,0,369,473,51,0,835,1,5.94900437105391,25.48013403542365,0.45544502617801175,27.72509578544061,39.558118081180815,21.552462526766597,14.764942374698473
Iztacalco,47,131,138,16,0,386,1,4.096626180836707,29.599612215220553,0.4397748592870526,25.488575595527468,50.874625374625374,23.707981673498914,15.557377049180328
